商品ID,ブランド,商品名,香水濃度,容量,参考価格,発売年,トップノート,ミドルノート,ラストノート,香調,シーン,季節,おすすめする人,おすすめしにくい人,注意点,香りプロフィール数値,Amazonリンク,楽天リンク,公式リンク,関連商品,SEOタイトル,SEO説明,情報出典,欠損項目数,欠損項目
hermes-3,Hermès,テール ド エルメス,オー ド トワレ,50mL,50mL 14190円,2006,オレンジ・グレープフルーツ,ペッパー・ゼラニウム,ベチバー・シダー,ウッディ,ビジネス / フォーマル,秋 / 春,ドライなウッディ系を仕事やフォーマルで使いたい人 / 柑橘から木質へ移る香りを好む人,バニラ主体の甘い香りを求める人,50mL以外の国内参考価格は今回の確認対象に含めていません,,,,https://www.hermes.com/jp/ja/product/%E3%82%AA%E3%83%BC-%E3%83%89-%E3%83%88%E3%83%AF%E3%83%AC-%E3%80%8A%E3%83%86%E3%83%BC%E3%83%AB-%E3%83%89%E3%82%A5-%E3%82%A8%E3%83%AB%E3%83%A1%E3%82%B9%E3%80%8B-V107189V0/,hermes-1 / hermes-2 / chanel-4,テール ド エルメス（Hermès）はどんな匂い？香調・持続・合うシーン｜Sillage,Hermès「テール ド エルメス」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,"[{""url"":""https://www.hermes.com/jp/ja/product/%E3%82%AA%E3%83%BC-%E3%83%89-%E3%83%88%E3%83%AF%E3%83%AC-%E3%80%8A%E3%83%86%E3%83%BC%E3%83%AB-%E3%83%89%E3%82%A5-%E3%82%A8%E3%83%AB%E3%83%A1%E3%82%B9%E3%80%8B-V107189V0/"",""publisher"":""Hermès"",""title"":""オー ド トワレ《テール ドゥ エルメス》50 ml"",""accessedAt"":""2026-07-18"",""supports"":[""concentration"",""sizes""]}]",3,香りプロフィール数値 / Amazonリンク / 楽天リンク
dior-6,Dior,ファーレンハイト,,,"¥14,000前後",1988,マンダリン・サンザシ,すみれ・ナツメグ,レザー・ベチバー,ウッディ,フォーマル / デート,秋 / 冬,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00pu2mn.k90d68f9.g00pu2mn.k90d7381/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fcosmelink%2F3348900012219%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fcosmelink%2Fi%2F10050667%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,dior-1 / dior-2 / dior-3,ファーレンハイト（Dior）はどんな匂い？香調・持続・合うシーン｜Sillage,Dior「ファーレンハイト」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
creed-1,Creed,アバントゥス,,,"¥45,000前後",2010,パイナップル・ベルガモット,バーチ・ジャスミン,ムスク・オークモス,ウッディ,ビジネス / フォーマル,春 / 秋,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00ss3zn.k90d6334.g00ss3zn.k90d7b5a/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fkousuiandco%2Fcre008-050%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fkousuiandco%2Fi%2F10011405%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,chanel-4 / tom-ford-2 / hermes-3,アバントゥス（Creed）はどんな匂い？香調・持続・合うシーン｜Sillage,Creed「アバントゥス」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
giorgio-armani-2,Giorgio Armani,アルマーニ コード,,,"¥9,000前後",2004,ベルガモット・レモン,オリーブブロッサム・アニス,レザー・トンカ,ウッディ,デート / フォーマル,秋 / 冬,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00u8bsn.k90d64f6.g00u8bsn.k90d7cb7/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Farmanibeauty%2Fjp-0110-arm%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Farmanibeauty%2Fi%2F10000166%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,giorgio-armani-1 / giorgio-armani-3 / chanel-4,アルマーニ コード（Giorgio Armani）はどんな匂い？香調・持続・合うシーン｜Sillage,Giorgio Armani「アルマーニ コード」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
le-labo-1,Le Labo,サンタル 33,,,"¥30,000前後",2011,カルダモン・アイリス,バイオレット・アンブロックス,サンダルウッド・レザー,ウッディ,デイリー / フォーマル,秋 / 冬,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00rs0cn.k90d6987.g00rs0cn.k90d76e3/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Frush-mall%2Flelabo-004%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frush-mall%2Fi%2F10019277%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,le-labo-2 / chanel-4 / tom-ford-2,サンタル 33（Le Labo）はどんな匂い？香調・持続・合うシーン｜Sillage,Le Labo「サンタル 33」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
diptyque-1,Diptyque,タムダオ,,,"¥22,000前後",2003,サイプレス・ローズ,サンダルウッド・シダー,アンバー・ムスク,ウッディ,デイリー / フォーマル,秋 / 冬,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00ss3zn.k90d6334.g00ss3zn.k90d7b5a/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fkousuiandco%2Fdip019-100%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fkousuiandco%2Fi%2F10015556%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,chanel-4 / tom-ford-2 / hermes-3,タムダオ（Diptyque）はどんな匂い？香調・持続・合うシーン｜Sillage,Diptyque「タムダオ」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
byredo-1,Byredo,ジプシー ウォーター,,,"¥25,000前後",2008,ベルガモット・ペッパー,パイン・インセンス,サンダルウッド・バニラ,ウッディ,デイリー / デート,秋 / 春,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00pv5mn.k90d6eb3.g00pv5mn.k90d71f1/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fkousuimonogatari%2Fbyr1001%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fkousuimonogatari%2Fi%2F10049827%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,chanel-4 / tom-ford-2 / hermes-3,ジプシー ウォーター（Byredo）はどんな匂い？香調・持続・合うシーン｜Sillage,Byredo「ジプシー ウォーター」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
dunhill-1,Dunhill,アイコン,,,"¥8,000前後",2015,ネロリ・ベルガモット,ラベンダー・ゼラニウム,ベチバー・レザー,ウッディ,ビジネス / フォーマル,秋 / 冬,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00q3lln.k90d651b.g00q3lln.k90d77e2/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fcosmetch%2F85715806406%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fcosmetch%2Fi%2F10056188%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,chanel-4 / tom-ford-2 / hermes-3,アイコン（Dunhill）はどんな匂い？香調・持続・合うシーン｜Sillage,Dunhill「アイコン」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
prada-2,Prada,ルオム,,,"¥13,000前後",2016,ネロリ・カルダモン,アイリス・ゼラニウム,アンバー・パチョリ,ウッディ,ビジネス / フォーマル,秋 / 春,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00uvszn.k90d68a0.g00uvszn.k90d739a/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fezcoshop%2F585029%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fezcoshop%2Fi%2F10000026%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,prada-1 / chanel-4 / tom-ford-2,ルオム（Prada）はどんな匂い？香調・持続・合うシーン｜Sillage,Prada「ルオム」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
john-varvatos-1,John Varvatos,アーティザン,,,"¥6,000前後",2009,クレメンタイン・バジル,シダー・タバコ,アンバー・スエード,ウッディ,デート / デイリー,秋 / 春,,,,,,,,chanel-4 / tom-ford-2 / hermes-3,アーティザン（John Varvatos）はどんな匂い？香調・持続・合うシーン｜Sillage,John Varvatos「アーティザン」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,10,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 楽天リンク / 公式リンク / 情報出典
montblanc-2,Montblanc,エクスプローラー,,,"¥6,500前後",2019,ベルガモット・ピンクペッパー,ベチバー,パチョリ・レザー,ウッディ,ビジネス / デイリー,秋 / 冬,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00r2fjn.k90d6872.g00r2fjn.k90d7745/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fblanc-lapin%2Fmob1m0000009%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fblanc-lapin%2Fi%2F10162421%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,montblanc-1 / chanel-4 / tom-ford-2,エクスプローラー（Montblanc）はどんな匂い？香調・持続・合うシーン｜Sillage,Montblanc「エクスプローラー」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
jo-malone-4,Jo Malone,ウッドセージ & シーソルト,,,"¥15,000前後",2014,アンブレットシード,セージ,シーソルト,ウッディ,デイリー / ビジネス,春 / 夏,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00sw7hn.k90d6e3d.g00sw7hn.k90d72dc/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fjomalone%2F32241l41601%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fjomalone%2Fi%2F10000825%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,jo-malone-1 / jo-malone-2 / jo-malone-3,ウッドセージ & シーソルト（Jo Malone）はどんな匂い？香調・持続・合うシーン｜Sillage,Jo Malone「ウッドセージ & シーソルト」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
hugo-boss-1,Hugo Boss,ボス ボトルド,,,"¥5,500前後",1998,アップル・ベルガモット,シナモン・ゼラニウム,サンダルウッド・ベチバー,ウッディ,ビジネス / デイリー,秋 / 冬,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00rf2sn.k90d6927.g00rf2sn.k90d73ba/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fbesba%2Fhug-021%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fbesba%2Fi%2F10011639%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,chanel-4 / tom-ford-2 / hermes-3,ボス ボトルド（Hugo Boss）はどんな匂い？香調・持続・合うシーン｜Sillage,Hugo Boss「ボス ボトルド」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
dior-7,Dior,ディオール オム,,,"¥14,000前後",2005,カラブリアンベルガモット,アイリス・カカオ,ベチバー・レザー,ウッディ,フォーマル / デート,秋 / 冬,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00pu2mn.k90d68f9.g00pu2mn.k90d7381/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fcosmelink%2F3348901126342%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fcosmelink%2Fi%2F10048884%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,dior-1 / dior-2 / dior-3,ディオール オム（Dior）はどんな匂い？香調・持続・合うシーン｜Sillage,Dior「ディオール オム」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
givenchy-1,Givenchy,ジェントルマン ブシ,,,"¥9,000前後",2020,ペア・カルダモン,アイリス・ラベンダー,レザー・パチョリ,ウッディ,ビジネス / デート,秋 / 冬,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00un4mn.k90d6881.g00un4mn.k90d7aed/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fluxs%2F13800912004%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fluxs%2Fi%2F10015560%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,chanel-4 / tom-ford-2 / hermes-3,ジェントルマン ブシ（Givenchy）はどんな匂い？香調・持続・合うシーン｜Sillage,Givenchy「ジェントルマン ブシ」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
tom-ford-3,Tom Ford,ブラック オーキッド,,,"¥20,000前後",2006,トリュフ・ブラックカラント,オーキッド・スパイス,パチョリ・ヴェチバー,シプレ,フォーマル / デート,冬 / 秋,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00pu2mn.k90d68f9.g00pu2mn.k90d7381/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fcosmelink%2F1059000055%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fcosmelink%2Fi%2F10078769%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,tom-ford-1 / tom-ford-2 / aramis-1,ブラック オーキッド（Tom Ford）はどんな匂い？香調・持続・合うシーン｜Sillage,Tom Ford「ブラック オーキッド」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
aramis-1,Aramis,アラミス,,,"¥5,000前後",1965,ベルガモット・シナモン,パチョリ・レザー,オークモス・ベチバー,シプレ,フォーマル / ビジネス,秋 / 冬,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00pv5mn.k90d6eb3.g00pv5mn.k90d71f1/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fkousuimonogatari%2F1080332%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fkousuimonogatari%2Fi%2F10013563%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,tom-ford-3 / chanel-5 / ysl-5,アラミス（Aramis）はどんな匂い？香調・持続・合うシーン｜Sillage,Aramis「アラミス」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
chanel-5,Chanel,プール ムッシュ,,,"¥14,000前後",1955,レモン・ベルガモット,バジル・ジンジャー,ベチバー・オークモス,シプレ,フォーマル / ビジネス,秋 / 春,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00pv5mn.k90d6eb3.g00pv5mn.k90d71f1/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fkousuimonogatari%2F1184426%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fkousuimonogatari%2Fi%2F10015068%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,chanel-1 / chanel-2 / chanel-3,プール ムッシュ（Chanel）はどんな匂い？香調・持続・合うシーン｜Sillage,Chanel「プール ムッシュ」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
ysl-5,YSL,クロス,,,"¥12,000前後",1981,アルデヒド・ベルガモット,ゼラニウム・パチョリ,レザー・ムスク,シプレ,デート / フォーマル,秋 / 冬,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00rv9hn.k90d606b.g00rv9hn.k90d794d/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fbrandacross%2F158715%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fbrandacross%2Fi%2F10012153%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,ysl-1 / ysl-2 / ysl-3,クロス（YSL）はどんな匂い？香調・持続・合うシーン｜Sillage,YSL「クロス」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
guerlain-3,Guerlain,ミツコ,オーデパルファン,75mL,75mL 21010円,1919,ベルガモット・ピーチ,ジャスミン・ローズ,オークモス・スパイス,シプレ,フォーマル / デート,秋 / 冬,ピーチとシプレの対比を秋冬に楽しみたい人 / 歴史ある香りをフォーマルに合わせたい人,透明感のある軽いマリン系を求める人,公式オンラインでは確認時に在庫切れと表示されています,,,https://hb.afl.rakuten.co.jp/hgc/g00txi5n.k90d68cf.g00txi5n.k90d7a43/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fhline-international%2F372656%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fhline-international%2Fi%2F10048258%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,https://www.guerlain.com/jp/ja-jp/p/les-legendaires-mitsouko---eau-de-parfum-024104.html,guerlain-1 / guerlain-2 / tom-ford-3,ミツコ（Guerlain）はどんな匂い？香調・持続・合うシーン｜Sillage,Guerlain「ミツコ」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,"[{""url"":""https://www.guerlain.com/jp/ja-jp/p/les-legendaires-mitsouko---eau-de-parfum-024104.html"",""publisher"":""Guerlain"",""title"":""ミツコ - オーデパルファン"",""accessedAt"":""2026-07-18"",""supports"":[""concentration"",""sizes"",""notes""]}]",2,香りプロフィール数値 / Amazonリンク
chanel-6,Chanel,アンテウス,,,"¥14,000前後",1981,レモン・プチグレン・タイム,カストリウム・パチョリ・ローズ,レザー・オークモス,シプレ,フォーマル / デート,秋 / 冬,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00quion.k90d6868.g00quion.k90d7b95/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fosharecafe%2F10002171%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fosharecafe%2Fi%2F10002171%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,chanel-1 / chanel-2 / chanel-3,アンテウス（Chanel）はどんな匂い？香調・持続・合うシーン｜Sillage,Chanel「アンテウス」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
shiro-1,SHIRO,サボン オードパルファン,オードパルファン,40mL,40mL 4180円,,アルデヒド・ベルガモット,ローズ・ミュゲ,ムスク・アンバー,ムスク,デイリー / ビジネス,春 / 夏,清潔感のある香りを日常や仕事で使いたい人 / 春夏にやさしい甘さを取り入れたい人,重厚なレザーやスモーキー系を求める人,公式オンラインでは確認時にSOLD OUT・入荷待ちと表示されています,,,https://hb.afl.rakuten.co.jp/hgc/g00t269n.k90d64bd.g00t269n.k90d7808/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Farianakosume%2F4580514122307%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Farianakosume%2Fi%2F10001708%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,https://shiro-shiro.jp/item/12702.html,narciso-rodriguez-1 / le-labo-2 / maison-margiela-2,サボン オードパルファン（SHIRO）はどんな匂い？香調・持続・合うシーン｜Sillage,SHIRO「サボン オードパルファン」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,"[{""url"":""https://shiro-shiro.jp/item/12702.html"",""publisher"":""SHIRO"",""title"":""サボン オードパルファン"",""accessedAt"":""2026-07-18"",""supports"":[""concentration"",""sizes""]}]",3,発売年 / 香りプロフィール数値 / Amazonリンク
narciso-rodriguez-1,Narciso Rodriguez,フォー ハー,,,"¥12,000前後",2003,オレンジブロッサム,ムスク・アンバー,パチョリ・バニラ,ムスク,デート / デイリー,春 / 秋,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00pu2mn.k90d68f9.g00pu2mn.k90d7381/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fcosmelink%2F3423478515956%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fcosmelink%2Fi%2F10075215%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,narciso-rodriguez-2 / shiro-1 / le-labo-2,フォー ハー（Narciso Rodriguez）はどんな匂い？香調・持続・合うシーン｜Sillage,Narciso Rodriguez「フォー ハー」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
le-labo-2,Le Labo,アナザー 13,,,"¥30,000前後",2010,アンブロックス・アルデヒド,ジャスミン,アンバー・ムスク,ムスク,デイリー / ビジネス,春 / 夏,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00uaebn.k90d67ee.g00uaebn.k90d7d30/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fhewuakaneshop%2F2023061406%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fhewuakaneshop%2Fi%2F10000872%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,le-labo-1 / shiro-1 / narciso-rodriguez-1,アナザー 13（Le Labo）はどんな匂い？香調・持続・合うシーン｜Sillage,Le Labo「アナザー 13」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
maison-margiela-2,Maison Margiela,レイジー サンデー モーニング,,,"¥16,000前後",2012,アルデヒド・洋ナシ,アイリス・ローズ,ムスク・パチョリ,ムスク,デイリー,春 / 夏,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00snpon.k90d69e1.g00snpon.k90d7baa/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fcosmediva%2F3605521932464%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fcosmediva%2Fi%2F10007191%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,maison-margiela-1 / shiro-1 / narciso-rodriguez-1,レイジー サンデー モーニング（Maison Margiela）はどんな匂い？香調・持続・合うシーン｜Sillage,Maison Margiela「レイジー サンデー モーニング」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
narciso-rodriguez-2,Narciso Rodriguez,フォー ヒム,,,"¥11,000前後",2007,バイオレットリーフ,ムスク,アンバー・パチョリ,ムスク,ビジネス / デート,春 / 秋,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00txi5n.k90d68cf.g00txi5n.k90d7a43/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fhline-international%2F762566%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fhline-international%2Fi%2F10050717%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,narciso-rodriguez-1 / shiro-1 / le-labo-2,フォー ヒム（Narciso Rodriguez）はどんな匂い？香調・持続・合うシーン｜Sillage,Narciso Rodriguez「フォー ヒム」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
glossier-1,Glossier,ユー,,,"¥9,000前後",2017,ピンクペッパー,アイリス,アンブレットムスク,ムスク,デイリー / デート,春 / 夏,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00rsgyn.k90d6eeb.g00rsgyn.k90d7777/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Famericana%2Fjm0000398%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Famericana%2Fi%2F10045978%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,shiro-1 / narciso-rodriguez-1 / le-labo-2,ユー（Glossier）はどんな匂い？香調・持続・合うシーン｜Sillage,Glossier「ユー」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
